LAT,LON,SPEED,COURSE,HEADING,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,DWT,DATETIME,PORT,date,week_nb,ship_type,port,is_parked,LAT_lag,LON_lag,vessel_distance
54.72048,18.99044,180,210,211,GDYNIA,SE,190,PETER PAN,7,4252519,29,6555,2016-12-19T18:07:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0,54.76785,18.99642,5287.192609900827
59.90985,30.26317,0,0,511,NA,RU,140,FITTER WORKSHOP,9,4316815,20,NA,2016-12-16T02:57:04Z,st_petersburg,2016-12-16,51,Pleasure,St. Petersburg,1,59.90968,30.26281,27.601190446713968
57.74739,11.60602,80,87,511,CLASS B,SE,15,SAIBON LL1248,2,4320524,5,NA,2016-12-16T02:05:05Z,gothenborg,2016-12-16,51,Fishing,gothenborg,0,57.69403,11.60128,5946.695792454208
54.697,18.67601,0,51,511,CLASS B,PL,14,EMPATIA POLSKA,9,4325014,4,NA,2016-12-13T15:33:01Z,gdansk,2016-12-13,50,Pleasure,Gdańsk,1,54.697,18.67601,0
59.90627,30.27033,4,244,511,ST PETERSBURG,RU,140,FITTER,7,4331405,20,NA,2016-12-15T22:15:03Z,st_petersburg,2016-12-15,50,Cargo,St. Petersburg,1,59.9109,30.26538,584.7874809466539
57.6117,11.61837,339,63,511,NA,SE,12,PURE ORANGE,0,4342553,3,NA,2016-12-14T13:41:05Z,gothenborg,2016-12-14,50,Unspecified,gothenborg,0,57.7072,11.94985,22420.45130651843
59.85481,30.49728,0,174,511,NA,RU,30,KONEVETS,6,4353709,8,NA,2016-12-20T10:27:04Z,st_petersburg,2016-12-20,51,Passenger,St. Petersburg,1,59.85476,30.49736,7.1401525260042105
59.88393,30.22508,0,0,103,P.TURKMENBASHI,--,156,FITTER W,6,4354379,18,NA,2016-12-14T10:13:03Z,st_petersburg,2016-12-14,50,Passenger,St. Petersburg,1,59.88388,30.22513,6.227328039257228
57.66545,11.61814,72,213,511,CLASS B,SE,11,GG 391 ELISABETH,2,4387258,4,NA,2016-12-15T06:31:05Z,gothenborg,2016-12-15,50,Fishing,gothenborg,0,57.67155,11.62779,889.4832307109258
54.40102,18.73049,59,287,511,GDANSK POLAND,PL,23,HERKULES,3,4387771,13,NA,2016-12-14T18:23:02Z,gdansk,2016-12-14,50,Tug,Gdańsk,0,54.4061,18.75652,1778.9200050828483
57.8704,11.63615,55,144,511,CLASS B,SE,12,MUCKLE FLUGGA,9,4449805,4,NA,2016-12-18T11:11:08Z,gothenborg,2016-12-18,51,Pleasure,gothenborg,0,57.85373,11.60375,2669.2365996424824
57.64877,11.8201,86,17,511,CLASS B,SE,15,ANNABELLA,9,4450061,4,NA,2016-12-17T11:09:05Z,gothenborg,2016-12-17,51,Pleasure,gothenborg,0,57.63703,11.81757,1315.5561086641294
59.94029,30.25811,0,221,511,NA,--,0,TST12,0,4497263,0,NA,2016-12-17T13:09:04Z,st_petersburg,2016-12-17,51,Unspecified,St. Petersburg,1,59.94029,30.25811,0
59.94029,30.25811,0,221,511,NA,--,0,TST12,0,4497263,0,NA,2016-12-17T13:09:04Z,st_petersburg,2016-12-17,51,Unspecified,St. Petersburg,1,59.94029,30.25811,0
57.60165,11.79117,312,22,8,CLASS B,SE,13,DT SUPPLY,9,4512547,4,NA,2016-12-14T17:51:05Z,gothenborg,2016-12-14,50,Pleasure,gothenborg,0,57.62814,11.81317,3227.439372762428
59.92179,30.00003,92,291,291,SILLAMAE,MH,178,BOMAR VANQUISH,7,4515761,26,22308,2016-12-13T18:51:03Z,st_petersburg,2016-12-13,50,Cargo,St. Petersburg,0,59.91869,30.01528,918.1758944360414
57.74983,11.65435,0,175,511,CLASS B,SE,10,DAISY,9,4561378,4,NA,2016-12-14T00:43:05Z,gothenborg,2016-12-14,50,Pleasure,gothenborg,1,57.74995,11.65436,13.37155656144984
54.76741,18.95644,89,317,317,ROTTERDAM,DE,81,LILY-B,7,458566,11,2300,2016-12-15T23:13:02Z,gdansk,2016-12-15,50,Cargo,Gdańsk,0,54.76496,18.98556,1889.924366065293
57.71685,11.95878,3,170,511,CLASS B,SE,7,KAXE,9,4589812,2,NA,2016-12-13T12:51:05Z,gothenborg,2016-12-13,50,Pleasure,gothenborg,1,57.71685,11.95878,0
55.7255,21.09081,92,117,123,KLAIPEDA/LTU,PA,183,OCEAN RAINBOW,7,459517,29,38494,2016-12-16T15:51:06Z,klaipeda,2016-12-16,51,Cargo,Klaipeda,0,55.72824,21.05654,2169.875420207165
55.73779,20.82914,102,270,271,SUEZ EGYPT,PA,224,BLUE CHIP,7,461034,32,76596,2016-12-15T16:41:07Z,klaipeda,2016-12-15,50,Cargo,Klaipeda,0,55.73701,20.85337,1521.010136425843
57.73225,11.67257,0,0,336,DAM,SE,14,LAGUN,2,4610570,4,NA,2016-12-14T00:29:06Z,gothenborg,2016-12-14,50,Fishing,gothenborg,1,57.73215,11.67255,11.195240928125772
54.36329,18.65778,2,0,511,CLASS B,GB,22,ATHENA,9,4611368,10,NA,2016-12-17T15:55:02Z,gdansk,2016-12-17,51,Pleasure,Gdańsk,1,54.36343,18.65776,15.638640750099148
54.6377,19.98747,54,81,81,KALININGRAD,MT,179,KOZNITZA,7,461192,29,32631,2016-12-20T09:31:03Z,kalingrad,2016-12-20,51,Cargo,Kalingrad,0,54.63397,19.93747,3248.079537603508
54.776,18.98992,121,299,299,SKAW/SKAGEN,PA,224,ROBIN WIND,7,461454,32,78228,2016-12-17T07:43:02Z,gdansk,2016-12-17,51,Cargo,Gdańsk,0,54.7093,18.99832,7444.613628176163
57.64591,11.70685,103,46,46,GOTEBORG,DK,24,SVITZER RAN,0,4615138,12,NA,2016-12-18T11:57:05Z,gothenborg,2016-12-18,51,Unspecified,gothenborg,0,57.63762,11.68968,1377.7233719273715
54.37226,18.99548,70,268,511,CLASS B,PL,10,PIA-96,2,4618693,2,NA,2016-12-18T14:43:02Z,gdansk,2016-12-18,51,Fishing,Gdańsk,0,54.3893,18.99751,1901.4466491325186
59.91029,30.05716,113,292,291,TYNE,PA,139,CITY OF ROTTERDAM,7,461962,22,5000,2016-12-13T21:37:04Z,st_petersburg,2016-12-13,50,Cargo,St. Petersburg,0,59.90517,30.08229,1514.0091441811444
54.64986,19.86447,69,133,137,SVETLY,FI,103,MIRVA VG,7,4631227,14,NA,2016-12-19T15:31:03Z,kalingrad,2016-12-19,51,Cargo,Kalingrad,0,54.65864,19.83358,2216.43654562571
59.91003,30.05895,94,292,294,SAN PETERSBURG,CL,178,ALMENDRO,7,463311,28,32662,2016-12-20T08:51:03Z,st_petersburg,2016-12-20,51,Cargo,St. Petersburg,0,59.90667,30.0754,991.4038585919277
54.36518,18.66378,0,61,511,TALLINN,EE,114,TOLL,6,4633113,20,NA,2016-12-13T23:41:02Z,gdansk,2016-12-13,50,Passenger,Gdańsk,1,54.36521,18.66392,9.674610692279519
54.65473,19.83367,18,58,511,KALININGRAD,RU,55,YASNYY,3,4645311,10,NA,2016-12-17T14:17:02Z,kalingrad,2016-12-17,51,Tug,Kalingrad,0,54.66106,19.81083,1630.8415651509513
54.76309,18.99629,138,323,317,SZCZICIN,PA,199,SANTA URSULA,7,465205,32,61453,2016-12-18T06:05:02Z,gdansk,2016-12-18,51,Cargo,Gdańsk,0,54.72224,18.99694,4547.5987229577995
57.73392,11.67183,24,319,511,CLASS B,SE,10,GG43 ANNA,2,4653928,4,NA,2016-12-18T11:33:05Z,gothenborg,2016-12-18,51,Fishing,gothenborg,0,57.73304,11.67202,98.6098837845626
54.76856,18.99601,91,307,297,DURBAN,PA,183,OCEAN VOYAGER,7,465931,29,38429,2016-12-19T10:21:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0,54.74373,18.99928,2772.036695102287
59.94119,30.25643,0,0,511,CLASS B,--,28,SUJINYU00618,2,4661124,6,NA,2016-12-15T13:05:03Z,st_petersburg,2016-12-15,50,Fishing,St. Petersburg,1,59.9412,30.25645,1.5756968114325376
54.35593,18.67478,0,301,511,GDANSK-PLATFORMY,VC,64,GRANIT,3,466414,13,999,2016-12-19T14:21:02Z,gdansk,2016-12-19,51,Tug,Gdańsk,1,54.35615,18.67468,25.334923713439984
54.79682,18.43566,59,259,258,WLAD-OIL RIG-WLAD,VC,33,APHRODITE I,3,466553,6,53,2016-12-19T23:25:06Z,gdynia,2016-12-19,51,Tug,Gdynia,0,54.79731,18.44141,373.00402246030916
59.94172,30.25882,0,5,511,CLASS B,SO,1000,BLACKPEARL 7.6V,0,4666609,100,NA,2016-12-17T16:11:03Z,st_petersburg,2016-12-17,51,Unspecified,St. Petersburg,1,59.94064,30.25591,201.9449209509056
57.79782,11.6342,331,156,511,NA,SE,8,RESCUE 8-45,3,4667808,3,NA,2016-12-19T11:57:05Z,gothenborg,2016-12-19,51,Tug,gothenborg,0,57.82393,11.61053,3227.748202099866
54.52919,18.53191,0,231,59,NaN,PL,NA,261535003,0,4674280,NA,NA,2016-12-18T18:49:07Z,gdynia,2016-12-18,51,Unspecified,Gdynia,1,54.52911,18.53196,9.473187661464404
54.79854,18.44975,63,193,189,REDA WLADYSLAWOWO,VC,64,BAZALT,3,467633,13,1008,2016-12-16T12:05:07Z,gdynia,2016-12-16,51,Tug,Gdynia,0,54.79522,18.93036,30844.428633835505
55.01358,20.27984,43,65,51,BALTIYSK,RU,162,FORTUNA,3,4677206,46,NA,2016-12-18T05:13:03Z,kalingrad,2016-12-18,51,Tug,Kalingrad,0,55.00997,20.24178,2462.4425587424557
55.6684,21.14289,84,342,340,SENRK,VC,63,LARGONA,7,467978,10,1195,2016-12-17T10:07:06Z,klaipeda,2016-12-17,51,Cargo,Klaipeda,0,55.65171,21.15729,2066.292378198824
59.90623,30.22779,57,214,215,BERTH 41,VC,150,BALTIC PRIME,7,468082,22,10742,2016-12-18T15:51:03Z,st_petersburg,2016-12-18,51,Cargo,St. Petersburg,0,59.91137,30.23448,683.2375716446037
54.73668,18.99782,89,207,209,GDYNIA,VC,32,SERVAL,3,468665,9,203,2016-12-15T05:55:01Z,gdansk,2016-12-15,50,Tug,Gdańsk,0,55.63261,20.80253,151988.4823991081
55.7276,21.08277,75,286,280,AHUS,VC,11,SAN REMO,7,468812,11,1225,2016-12-18T18:19:06Z,klaipeda,2016-12-18,51,Cargo,Klaipeda,0,55.70337,21.11962,3551.733423364863
